Vessel Name,IMO Number,Source
BRELYAN,9138056,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FIROUZEH,9103099,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN HORMUZ 25,8422072,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HORMUZ 2,7904580,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN HORMUZ 12,9005596,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN HORMUZ 14,9020778,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN SHAHED,9184691,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NEGEEN,9071519,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN SHALAMCHEH,8820925,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TABAN 1,9420368,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHAYAN 1,9420356,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YARAN,9420370,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ZOMOROUD,9138044,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ALVAN,9165798,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARIES,9369722,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTABAZ,9283007,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTAM,9284154,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTENOS,9283021,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTIN,9305221,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARZIN,9284142,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AYSAN,9165803,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AZARGOUN,9283019,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BASHT,9346536,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BEHDAD,9051636,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BEHNAVAZ,9346548,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ELYANA,9165827,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOLAFRUZ,9323833,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOLSAN,9165815,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOLSAR,9193185,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
JAIRAN,9167291,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MAHNAM,9213387,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NESHAT,9167277,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARNIA,9167265,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHABGOUN,9346524,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHAHR E KORD,9270684,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TOUSKA,9328900,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HAMD,9036052,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CANREACH,9820271,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HYUNDAI MIPO 2655,9820312,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HYUNDAI MIPO 2656,9820324,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HYUNDAI MIPO 2657,9820336,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN CHARAK,8322076,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN HORMUZ 22,8314275,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN PARAK,8322064,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN SHALAK,8319940,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IRAN YOUSHAT,8319952,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KASHAN,9270696,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SOBHAN,9036935,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ABBA,9051624,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ABTIN 1,9379636,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ABYAN,9349667,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ANDIA,9193197,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARDAVAN,9465863,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTAVAND,9193214,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARVIN,9193202,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BAHJAT,9405954,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FANREACH,9820269,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BATIS,9465760,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BEHDOKHT,9405978,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOLBON,9283033,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HAMGAM,9226956,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KHURAN,9032666,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MIAMI PRIDE,9274941,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
OURA,9387815,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOODREACH,9820257,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TENREACH,9820245,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ROSHAK,9405966,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHAMIM,9270658,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHIBA,9270646,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AMINA,9305192,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AREZOO,9165786,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARSHAM,9386500,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTARIA,9226944,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTMAN,9405930,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AVANG,9465746,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BASKAR,9405942,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BAVAND,9387798,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BEHSHAD,9167289,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BEHTA,9349590,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CASPIA,9125126,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DARYABAR,9369710,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DELICE,9125138,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DELNAVAZ,9387803,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DELRUBA,9305207,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DEVREZ,9120994,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GANJ,9305219,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KIAZAND,9465758,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MENA,8909472,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NEGAR,9165839,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NOOR 1,9506320,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARISAN,9465851,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARSHAD,9387786,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARSHAN,9051648,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PERARIN,9209350,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SARVIN,9209348,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SAVIZ,9167253,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHABDIS,9349588,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHAHRAZ,9349576,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TABUK,8917467,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TERMEH,9213399,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
WARTA,9465849,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ZARDIS,9349679,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NYMEX STAR,9078191,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FAXON,9283758,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DERYA,9569700,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
